"Timestamp","Jsem pracovník","Jsem z fakulty / odjinud","Jsem","O dění na UP jsem vnitřními informačními kanály informován(a)","Dění na UP ohledně vzniku Vysokoškolského ústavu (dále VŠÚ)","Informace získávám","Současné dění okolo VŠÚ na UP považuji za záležitost","Se způsobem, jakým se na UP řeší vznik VŠÚ, jsem","Na dění na UP ohledně vzniku VŠÚ","Na dění na UP ohledně etických kauz","K dění na UP ohledně vzniku VŠÚ","K dění na UP v etických kauzách","Svůj názor na dění na UP ohledně vzniku VŠÚ","Svůj názor na dění na UP ohledně etických kauz","Domníváte se, že některé etické kauzy je potřeba vyřešit před vznikem VŠÚ?","Současné etické kauzy na UP I","Současné etické kauzy na UP II","Dění okolo Etické komise UP","Etické podněty ohledně možného falšování dat považuji za","Etické podněty k chování, komunikaci, práci či rozhodování některých zaměstnanců či vedoucích pracovníků považuji za","Roli univerzitního ombudsmana/ky","Postoje a postup vedení UP v řešení vzniku VŠÚ považuji za","Postoje a postup vedení UP v řešení etických kauz považuji za","Způsob řešení problémů na UP ze strany vedení UP považuji za ","Univerzitu Palackého považuji z hlediska mé vědecké, pedagogické či jiné práce","Ad případný vznik VŠÚ na UP","Mám možnost se svobodně rozhodnout, zda ve VŠÚ chci pracovat nebo ne","Pokud bych měl možnost se rozhodnout, pak bych do VŠÚ ","O anketě jsem se dozvěděl(a) ","Anketu jsem uvítal(a)","Rád budu seznámen(a) s výsledky (budou zveřejněny na UP reflexi)","Comment"
"2020/02/22 10:39:10 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","dostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu","jen několika fakult","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","z části účelové","bych rozhodně uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","nevím / netýká se mne","nechtěl(a) vstoupit","z UP reflexe","je mi to jedno","ano","Zbořil a Miller jsou podvodnící. Zbořil by měl odejít z akademické sféry a Miller rezignovat."
"2020/02/22 10:39:13 AM GMT+1","mladší výzkumný pracovník/pracovnice (do 5 let od PhD)","PF","muž","dostatečně","pravidelně sleduji","z www stránek UP;z Newsletteru UP;z www stránek mé fakulty;z vnitřní platformy UP reflexe","jen několika fakult","spokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych vyjádřil(a) pouze anonymně","bych vyjádřil(a) pouze anonymně","spíše ne","pokládám za nevelký problém","pokládám za nepříliš dobře řešené","považuji za korektní","účelové","z části účelové","bych rozhodně uvítal(a)","korektní","mírně zaujaté","spíše transparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","rozhodně jsem pro vznik VŠÚ","rozhodně ano","rozhodně chtěl(a) vstoupit","z UP reflexe","ano","ano",""
"2020/02/22 10:41:51 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","osoba mimo UP, t.č. v zahraničí","muž","vůbec","pravidelně sleduji","z dŽurnálu;ze sociálních sítí;ze serveru Věda a výzkum","celeceske vedecke komunity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","účelové","nemám vyhraněný názor","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","rozhodně nejsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","od kolegy/ně;ze sociálních sítí","ano","ano",""
"2020/02/22 10:42:48 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","bývalý zaměstnanec / bývalá zaměstnankyně UP","jinak","dostatečně","pravidelně sleduji","z www stránek UP","jen několika fakult","spokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","občas vyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ne","nepokládám za problém za hranicí obvyklých problémů na instituci podobného typu","pokládám za dobře řešené","považuji za korektní","účelové","účelové","je zcela zbytečná","korektní","korektní","rozhodně transparentní","nedovedu posoudit","rozhodně jsem pro vznik VŠÚ","rozhodně ano","rozhodně chtěl(a) vstoupit","z UP reflexe","ne","je mi to jedno",""
"2020/02/22 10:43:45 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","spíše dostatečně","pravidelně sleduji","z www stránek mé fakulty;z dŽurnálu;ze sociálních sítí;ze zpravodajských serverů","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","účelové","bych rozhodně uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","rozhodně nejsem pro vznik VŠÚ","rozhodně ano","nechtěl(a) vstoupit","od kolegy/ně","ano","ano","Děkuji za tento dotazník!"
"2020/02/22 10:49:02 AM GMT+1","PhD student(ka)","PřF","muž","dostatečně","pravidelně sleduji","z www stránek UP","jen několika fakult","spokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","často vyjadřuji veřejně svůj názor","často vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ne","nepokládám za problém za hranicí obvyklých problémů na instituci podobného typu","pokládám za dobře řešené","považuji za ne vždy korektní","účelové","účelové","je zcela zbytečná","korektní","korektní","rozhodně transparentní","za místo bez problémů","rozhodně jsem pro vznik VŠÚ","rozhodně ano","rozhodně chtěl(a) vstoupit","z UP reflexe","ne","ano","Závistlivci typu Kubala, Opatrný, Kvíta, Furst, Fňukal, Soural, a další, ať jsi políbí prdel."
"2020/02/22 11:00:23 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","spíše nedostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze serveru Věda a výzkum;z jiných médií","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","nedovedu posoudit","bych spíše uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","rozhodně nejsem pro vznik VŠÚ","nevím / netýká se mne","nechtěl(a) vstoupit","z UP reflexe","spíše ano","ano",""
"2020/02/22 11:07:47 AM GMT+1","Mgr student(ka)","PřF","muž","dostatečně","pravidelně sleduji","z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu;ze zpravodajských serverů","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","často vyjadřuji veřejně svůj názor","občas vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","nepovažuji za účelové","bych rozhodně uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","rozhodně ne","nechtěl(a) vstoupit","z UP reflexe","ano","ano","Hezky udělané Jirko, přepošlu mezi studenty. Michal Jandík"
"2020/02/22 11:08:48 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","spíše nedostatečně","pravidelně sleduji","z www stránek UP;z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze serveru Věda a výzkum","celé univerzity","nespokojen(a)","názor si neustále tvořím","názor si neustále tvořím","občas vyjadřuji veřejně svůj názor","občas vyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","z části účelové","bych rozhodně uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","spíše ne","spíše nechtěl(a) vstoupit","z UP reflexe","ano","ano","Vznik současných etických problémů na UP považuji za spíše ""systémovou"" záležitost vznikající do značné míry zákonitě kvůli nevhodně nastaveným pravidlům organizace a hodnocení vědecké práce. Avšak míra, ke které situace na UP dospěla, podle mne výrazně překračuje průměr. Způsob řešení těchto problémů vedením UP považuji za společensky nebezpečný a poto by mělo být podle mého názoru vedení UP odvoláno senátem UP. Vedení UP buď tak činí záměrně sledujíce své dílčí zájmy nebo ""z nedostatku nadhledu"" (nedovedu posoudit co z toho platí více, ale pravděpodobněji to první). "
"2020/02/22 11:12:25 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","dostatečně","pravidelně sleduji","z www stránek UP;z Newsletteru UP;z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu;ze zpravodajských serverů;ze serveru Věda a výzkum","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","občas vyjadřuji veřejně svůj názor","občas vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","z části účelové","bych spíše uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","rozhodně ne","možná vstoupil(a), ale ne za současných podmínek","z UP reflexe","ano","ano","Díky za Vaší iniciativu!"
"2020/02/22 11:34:31 AM GMT+1","","PřF","muž","dostatečně","pravidelně sleduji","z www stránek UP;z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze zpravodajských serverů","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","vyjadřuji v kuloárních diskuzích, případně ve vybraných peticích","vyjadřuji v kuloárních diskuzích, případně ve vybraných peticích","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","z části účelové","z části účelové","je spíše zbytečná","nepřipravené, alibistické, z části podjaté","partyzánské","spíše netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","nemám jasný názor","rozhodně ano","nechtěl(a) vstoupit","z UP reflexe","spíše ano","ano","Rozhodně mě mrzí, že se ztrácí kredit Univerzity Palackého v očích prosté i odborné veřejnosti"
"2020/02/22 11:35:52 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","FF","muž","dostatečně","pravidelně sleduji","z www stránek UP;z Newsletteru UP;z vnitřní platformy UP reflexe","jen několika fakult","spokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","občas vyjadřuji veřejně svůj názor","občas vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ne","nepokládám za problém za hranicí obvyklých problémů na instituci podobného typu","pokládám za dobře řešené","považuji za korektní","účelové","účelové","je spíše zbytečná","korektní","korektní","rozhodně transparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","rozhodně jsem pro vznik VŠÚ","nevím / netýká se mne","spíše chtěl(a) vstoupit","z UP reflexe","spíše ne","spíše ano",""
"2020/02/22 11:37:02 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","spíše nedostatečně","zběžně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","spíše ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","z části účelové","účelové","bych spíše uvítal(a)","zaujaté","zaujaté","spíše netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","nevím / netýká se mne","nevím, netýká se mne","z UP reflexe","ano","ano",""
"2020/02/22 11:43:48 AM GMT+1","Mgr student(ka)","PřF","muž","dostatečně","zběžně sleduji","z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze zpravodajských serverů","celé univerzity","nespokojen(a)","názor si neustále tvořím","názor si neustále tvořím","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych vyjádřil(a) pouze anonymně","určitě ne","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","nepovažuji za účelové","bych spíše uvítal(a)","mírně zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","nevím / netýká se mne","možná vstoupil(a), ale ne za současných podmínek","z UP reflexe","ano","ano",""
"2020/02/22 11:46:33 AM GMT+1","Bc student(ka)","CMTF","žena","dostatečně","pravidelně sleduji","z www stránek UP;z jiných médií","celé univerzity","spokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","často vyjadřuji veřejně svůj názor","často vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ne","nepokládám za problém za hranicí obvyklých problémů na instituci podobného typu","pokládám za dobře řešené","považuji za korektní","účelové","účelové","nemám vyhraněný názor","korektní","korektní","rozhodně transparentní","za místo bez problémů","rozhodně jsem pro vznik VŠÚ","nevím / netýká se mne","rozhodně chtěl(a) vstoupit","z UP reflexe","spíše ne","ne",""
"2020/02/22 11:48:00 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","FF","muž","spíše nedostatečně","pravidelně sleduji","z www stránek UP;z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze serveru Věda a výzkum","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych vyjádřil(a) pouze anonymně","bych vyjádřil(a) pouze anonymně","spíše ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","z části účelové","účelové","nemám vyhraněný názor","zaujaté","zaujaté","spíše netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","spíše ano","možná vstoupil(a), ale ne za současných podmínek","z UP reflexe","ano","ano",""
"2020/02/22 11:50:57 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","spíše dostatečně","pravidelně sleduji","z www stránek UP;z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze serveru Věda a výzkum","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","nepovažuji za účelové","nemám vyhraněný názor","zaujaté","zaujaté","spíše netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","rozhodně ne","nechtěl(a) vstoupit","od kolegy/ně","ano","ano",""
